"election_id","gss","name","slug","start_date","end_date","territory_code","organisation_type"
"pcc.west-yorkshire.2016-05-05","E23000010","West Yorkshire Police","west-yorkshire","2012-11-15",,"ENG","police-area"
"pcc.west-yorkshire.2020-05-07","E23000010","West Yorkshire Police","west-yorkshire","2012-11-15",,"ENG","police-area"
"pcc.dorset.2016-05-05","E23000039","Dorset Police","dorset","2012-11-15",,"ENG","police-area"
"pcc.dorset.2020-05-07","E23000039","Dorset Police","dorset","2012-11-15",,"ENG","police-area"
"pcc.sussex.2016-05-05","E23000033","Sussex Police","sussex","2012-11-15",,"ENG","police-area"
"pcc.sussex.2020-05-07","E23000033","Sussex Police","sussex","2012-11-15",,"ENG","police-area"
"pcc.kent.2016-05-05","E23000032","Kent Police","kent","2012-11-15",,"ENG","police-area"
"pcc.kent.2020-05-07","E23000032","Kent Police","kent","2012-11-15",,"ENG","police-area"
"pcc.derbyshire.2016-05-05","E23000018","Derbyshire Constabulary","derbyshire","2012-11-15",,"ENG","police-area"
"pcc.derbyshire.2020-05-07","E23000018","Derbyshire Constabulary","derbyshire","2012-11-15",,"ENG","police-area"
"pcc.gloucestershire.2016-05-05","E23000037","Gloucestershire Constabulary","gloucestershire","2012-11-15",,"ENG","police-area"
"pcc.gloucestershire.2020-05-07","E23000037","Gloucestershire Constabulary","gloucestershire","2012-11-15",,"ENG","police-area"
"pcc.suffolk.2016-05-05","E23000025","Suffolk Constabulary","suffolk","2012-11-15",,"ENG","police-area"
"pcc.suffolk.2020-05-07","E23000025","Suffolk Constabulary","suffolk","2012-11-15",,"ENG","police-area"
"pcc.humberside.2016-05-05","E23000012","Humberside Police","humberside","2012-11-15",,"ENG","police-area"
"pcc.humberside.2020-05-07","E23000012","Humberside Police","humberside","2012-11-15",,"ENG","police-area"
"pcc.cheshire.2016-05-05","E23000006","Cheshire Constabulary","cheshire","2012-11-15",,"ENG","police-area"
"pcc.cheshire.2020-05-07","E23000006","Cheshire Constabulary","cheshire","2012-11-15",,"ENG","police-area"
"pcc.thames-valley.2016-05-05","E23000029","Thames Valley Police","thames-valley","2012-11-15",,"ENG","police-area"
"pcc.thames-valley.2020-05-07","E23000029","Thames Valley Police","thames-valley","2012-11-15",,"ENG","police-area"
"pcc.northamptonshire.2016-05-05","E23000022","Northamptonshire Police","northamptonshire","2012-11-15",,"ENG","police-area"
"pcc.northamptonshire.2020-05-07","E23000022","Northamptonshire Police","northamptonshire","2012-11-15",,"ENG","police-area"
"pcc.wiltshire.2016-05-05","E23000038","Wiltshire Police","wiltshire","2012-11-15",,"ENG","police-area"
"pcc.wiltshire.2020-05-07","E23000038","Wiltshire Police","wiltshire","2012-11-15",,"ENG","police-area"
